Listeners;Human;HifiGan;MultiMelgan;WaveGrad
"EDelNN,""48xDv5"",""2024-01-25 09:34:15"",2,4,1,3";2;4;1;3
"VYXPNa,""N6W9B0"",""2024-01-25 09:34:48"",3,4,3,3";3;4;3;3
"0vzEN9,""9WDANY"",""2024-01-25 10:44:18"",2,4,1,4";2;4;1;4
"ZYXlbV,""YQWlN0"",""2024-01-25 11:18:42"",3,4,1,3";3;4;1;3
"JDbDqJ,""pKB2y8"",""2024-01-25 11:22:28"",3,5,1,3";3;5;1;3
"yvrvdg,""Oz5Njp"",""2024-01-25 11:27:56"",3,4,4,5";3;4;4;5
"WYXldJ,""EXQpPq"",""2024-01-25 12:19:02"",4,3,2,1";4;3;2;1
"DD9aDX,""ZN6pvo"",""2024-01-25 13:16:53"",2,4,1,3";2;4;1;3
"qWqVq8,""YQQzrd"",""2024-01-25 18:38:20"",4,4,2,4";4;4;2;4
"e2GRVl,""1ll2bO"",""2024-01-25 18:39:55"",3,4,1,3";3;4;1;3
"OYZ548,""7WW9j2"",""2024-01-25 18:43:02"",4,5,2,3";4;5;2;3
"0vY61B,""BXXbR5"",""2024-01-25 18:47:13"",1,4,1,5";1;4;1;5
"DDodjX,""P6621P"",""2024-01-25 18:52:09"",3,4,1,5";3;4;1;5
"DDoNDj,""5zzl8d"",""2024-01-25 18:57:33"",4,4,4,4";4;4;4;4
"88YKrl,""Gzzokz"",""2024-01-25 18:59:51"",3,4,1,5";3;4;1;5
"aE16PB,""kyy0Qd"",""2024-01-25 19:01:21"",4,4,2,5";4;4;2;5
"DDoV5q,""QDD8RA"",""2024-01-25 19:09:02"",3,4,1,5";3;4;1;5
"PYNEXe,""EXX8pl"",""2024-01-25 19:21:53"",2,3,2,5";2;3;2;5
"yvbDE8,""488AEY"",""2024-01-25 19:34:04"",3,4,3,4";3;4;3;4
"BDYBoA,""V00vrl"",""2024-01-25 19:38:41"",2,5,3,4";2;5;3;4
"qWqO7G,""677WVN"",""2024-01-25 19:49:44"",5,3,2,4";5;3;2;4
"rLQr02,""9WWMrY"",""2024-01-25 20:24:06"",3,4,1,5";3;4;1;5
"VYaoZJ,""b77zP0"",""2024-01-25 20:48:08"",2,4,1,3";2;4;1;3
"2vYVvg,""pKK1gV"",""2024-01-25 22:36:16"",2,4,2,5";2;4;2;5
"WYbExj,""b7l5ZL"",""2024-01-26 06:26:15"",4,5,2,4";4;5;2;4
"RYeYgd,""r6loMR"",""2024-01-26 09:09:52"",5,3,3,4";5;3;3;4
"jW47VR,""QDAVak"",""2024-01-26 09:25:59"",3,4,2,5";3;4;2;5
"BDJXLA,""MbAjVA"",""2024-01-26 16:45:09"",2,4,1,4";2;4;1;4
"VYW0oE,""P6AZre"",""2024-01-26 16:45:17"",1,3,2,2";1;3;2;2
"RYqRQ9,""xpdqzG"",""2024-01-26 17:34:43"",2,4,3,3";2;4;3;3
"yv8kd4,""AdJzjy"",""2024-01-26 20:32:45"",5,5,3,5";5;5;3;5
"LY2Kjl,""oyORZO"",""2024-01-27 16:47:01"",5,3,2,4";5;3;2;4
"djM1XV,""g0LM8J"",""2024-01-28 12:57:12"",4,3,1,1";4;3;1;1
"BDMvlK,""vAxeg4"",""2024-01-30 07:10:56"",4,3,1,4";4;3;1;4
"zJaWkZ,""J6kW8J"",""2024-01-30 12:12:23"",5,5,1,4";5;5;1;4
"od4KDP,""QDBOjl"",""2024-01-30 12:15:24"",3,4,1,4";3;4;1;4
"7v8aza,""WNp1XL"",""2024-01-30 12:34:22"",4,3,2,5";4;3;2;5
"9vzMRV,""DNvW4N"",""2024-01-30 12:57:08"",1,2,1,3";1;2;1;3
"GD25E2,""R0Br5J"",""2024-01-30 13:00:50"",4,3,3,5";4;3;3;5
"2vMGEp,""LbMjg1"",""2024-01-30 14:51:14"",3,4,5,2";3;4;5;2
"5vyA0M,""AdbRRk"",""2024-01-30 15:03:42"",4,3,5,4";4;3;5;4
"5v6xZP,""Ozj15M"",""2024-01-30 17:32:00"",2,3,1,4";2;3;1;4
"odrG5P,""Ozj15M"",""2024-01-30 17:35:36"",3,3,1,4";3;3;1;4
"7vBxpZ,""N645Ml"",""2024-01-30 17:35:46"",3,3,1,4";3;3;1;4
"ZY4NJy,""P62dLb"",""2024-01-30 17:55:46"",4,3,1,4";4;3;1;4
"PXjRWb,""EXBAy2"",""2024-01-31 02:12:24"",3,3,4,5";3;3;4;5
"8PoR1x,""GzoMgZ"",""2024-01-31 07:15:47"",4,3,1,5";4;3;1;5
